# # Wavelength (nm)	EQE
315.000000	0.375226
325.000000	0.486242
335.000000	0.584610
345.000000	0.677521
355.000000	0.751755
365.000000	0.796085
375.000000	0.817249
385.000000	0.832089
395.000000	0.841737
405.000000	0.846761
415.000000	0.849482
425.000000	0.850911
435.000000	0.851668
445.000000	0.852125
455.000000	0.852191
465.000000	0.851937
475.000000	0.850964
485.000000	0.848579
495.000000	0.845135
505.000000	0.839691
515.000000	0.833142
525.000000	0.824452
535.000000	0.814906
545.000000	0.803910
555.000000	0.792779
565.000000	0.781971
575.000000	0.770686
585.000000	0.759329
595.000000	0.747240
605.000000	0.734644
615.000000	0.723214
625.000000	0.713193
635.000000	0.704984
645.000000	0.699317
655.000000	0.694643
665.000000	0.690327
675.000000	0.685740
685.000000	0.680165
695.000000	0.671686
705.000000	0.659934
715.000000	0.643284
725.000000	0.614607
735.000000	0.566908
745.000000	0.483358
755.000000	0.344400
765.000000	0.139015
775.000000	0.055422
785.000000	0.015719
795.000000	0.003865
805.000000	0.000866
815.000000	0.000183
825.000000	0.000033
835.000000	0.000005
845.000000	0.000001
