# # Wavelength (nm)	EQE
315.000000	0.388954
325.000000	0.503290
335.000000	0.604517
345.000000	0.700335
355.000000	0.777439
365.000000	0.824571
375.000000	0.848661
385.000000	0.867169
395.000000	0.881101
405.000000	0.890103
415.000000	0.896574
425.000000	0.901098
435.000000	0.904513
445.000000	0.907055
455.000000	0.909155
465.000000	0.911282
475.000000	0.913394
485.000000	0.914922
495.000000	0.916615
505.000000	0.917412
515.000000	0.917982
525.000000	0.917244
535.000000	0.915843
545.000000	0.912826
555.000000	0.908924
565.000000	0.904696
575.000000	0.899109
585.000000	0.892613
595.000000	0.884622
605.000000	0.874853
615.000000	0.865238
625.000000	0.856086
635.000000	0.848231
645.000000	0.842874
655.000000	0.838600
665.000000	0.834904
675.000000	0.831166
685.000000	0.826568
695.000000	0.819079
705.000000	0.808110
715.000000	0.791783
725.000000	0.762068
735.000000	0.709819
745.000000	0.612778
755.000000	0.442432
765.000000	0.180683
775.000000	0.072236
785.000000	0.020462
795.000000	0.005005
805.000000	0.001115
815.000000	0.000235
825.000000	0.000042
835.000000	0.000007
845.000000	0.000001
