# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)   330 nm   335 nm   340 nm   345 nm   350 nm   355 nm   360 nm   365 nm   370 nm   375 nm   380 nm   385 nm   390 nm   395 nm   400 nm   405 nm   410 nm   415 nm   420 nm   425 nm   430 nm   435 nm   440 nm   445 nm   450 nm   455 nm   460 nm   465 nm   470 nm   475 nm   480 nm   485 nm   490 nm   495 nm   500 nm   505 nm   510 nm   515 nm   520 nm   525 nm   530 nm   535 nm   540 nm   545 nm   550 nm
0.0   2.203e+18   3.006e+18   4.962e+18   5.246e+18   6.882e+18   8.439e+18   7.693e+18   9.510e+18   1.027e+19   8.547e+18   8.952e+18   7.631e+18   7.845e+18   7.102e+18   8.737e+18   8.343e+18   7.624e+18   9.691e+18   1.073e+19   1.612e+19   1.582e+19   2.910e+19   3.121e+19   2.749e+19   2.327e+19   1.784e+19   1.470e+19   1.258e+19   1.083e+19   1.018e+19   8.885e+18   7.663e+18   6.888e+18   6.138e+18   5.048e+18   4.554e+18   4.172e+18   3.883e+18   3.666e+18   3.686e+18   3.536e+18   3.560e+18   3.383e+18   3.517e+18   3.429e+18
1.0   2.197e+18   2.994e+18   4.933e+18   5.211e+18   6.831e+18   8.373e+18   7.638e+18   9.431e+18   1.020e+19   8.481e+18   8.892e+18   7.586e+18   7.806e+18   7.070e+18   8.703e+18   8.314e+18   7.597e+18   9.654e+18   1.068e+19   1.603e+19   1.569e+19   2.879e+19   3.089e+19   2.726e+19   2.311e+19   1.775e+19   1.464e+19   1.254e+19   1.079e+19   1.015e+19   8.865e+18   7.648e+18   6.876e+18   6.129e+18   5.041e+18   4.549e+18   4.168e+18   3.879e+18   3.663e+18   3.683e+18   3.533e+18   3.557e+18   3.380e+18   3.515e+18   3.427e+18
2.0   2.191e+18   2.983e+18   4.904e+18   5.177e+18   6.780e+18   8.309e+18   7.584e+18   9.353e+18   1.012e+19   8.416e+18   8.833e+18   7.542e+18   7.767e+18   7.039e+18   8.669e+18   8.284e+18   7.570e+18   9.618e+18   1.063e+19   1.593e+19   1.555e+19   2.849e+19   3.057e+19   2.703e+19   2.296e+19   1.766e+19   1.458e+19   1.250e+19   1.076e+19   1.013e+19   8.845e+18   7.632e+18   6.865e+18   6.120e+18   5.034e+18   4.544e+18   4.163e+18   3.876e+18   3.659e+18   3.679e+18   3.530e+18   3.554e+18   3.377e+18   3.512e+18   3.424e+18
3.0   2.185e+18   2.971e+18   4.876e+18   5.143e+18   6.730e+18   8.244e+18   7.530e+18   9.275e+18   1.005e+19   8.351e+18   8.774e+18   7.497e+18   7.728e+18   7.007e+18   8.635e+18   8.254e+18   7.543e+18   9.581e+18   1.058e+19   1.583e+19   1.542e+19   2.818e+19   3.025e+19   2.680e+19   2.281e+19   1.756e+19   1.452e+19   1.245e+19   1.073e+19   1.010e+19   8.824e+18   7.617e+18   6.853e+18   6.111e+18   5.028e+18   4.539e+18   4.159e+18   3.872e+18   3.656e+18   3.676e+18   3.527e+18   3.551e+18   3.374e+18   3.509e+18   3.421e+18
4.0   2.179e+18   2.960e+18   4.847e+18   5.109e+18   6.680e+18   8.181e+18   7.477e+18   9.198e+18   9.975e+18   8.287e+18   8.716e+18   7.453e+18   7.689e+18   6.976e+18   8.601e+18   8.225e+18   7.517e+18   9.545e+18   1.053e+19   1.574e+19   1.530e+19   2.788e+19   2.993e+19   2.658e+19   2.266e+19   1.747e+19   1.445e+19   1.241e+19   1.070e+19   1.007e+19   8.804e+18   7.602e+18   6.841e+18   6.102e+18   5.021e+18   4.533e+18   4.154e+18   3.868e+18   3.653e+18   3.673e+18   3.524e+18   3.548e+18   3.371e+18   3.506e+18   3.418e+18
5.0   2.172e+18   2.948e+18   4.819e+18   5.075e+18   6.630e+18   8.117e+18   7.423e+18   9.121e+18   9.902e+18   8.223e+18   8.657e+18   7.410e+18   7.650e+18   6.945e+18   8.568e+18   8.196e+18   7.490e+18   9.508e+18   1.048e+19   1.564e+19   1.517e+19   2.758e+19   2.962e+19   2.635e+19   2.251e+19   1.738e+19   1.439e+19   1.236e+19   1.066e+19   1.005e+19   8.784e+18   7.587e+18   6.829e+18   6.092e+18   5.015e+18   4.528e+18   4.150e+18   3.864e+18   3.649e+18   3.670e+18   3.521e+18   3.545e+18   3.368e+18   3.503e+18   3.416e+18
6.0   2.166e+18   2.937e+18   4.791e+18   5.042e+18   6.581e+18   8.055e+18   7.370e+18   9.045e+18   9.830e+18   8.159e+18   8.600e+18   7.366e+18   7.612e+18   6.914e+18   8.534e+18   8.166e+18   7.464e+18   9.472e+18   1.044e+19   1.555e+19   1.504e+19   2.729e+19   2.931e+19   2.613e+19   2.236e+19   1.730e+19   1.433e+19   1.232e+19   1.063e+19   1.002e+19   8.764e+18   7.571e+18   6.817e+18   6.083e+18   5.008e+18   4.523e+18   4.146e+18   3.860e+18   3.646e+18   3.666e+18   3.518e+18   3.542e+18   3.366e+18   3.500e+18   3.413e+18
7.0   2.160e+18   2.926e+18   4.764e+18   5.009e+18   6.532e+18   7.992e+18   7.318e+18   8.970e+18   9.758e+18   8.097e+18   8.542e+18   7.323e+18   7.573e+18   6.883e+18   8.501e+18   8.137e+18   7.437e+18   9.436e+18   1.039e+19   1.545e+19   1.491e+19   2.700e+19   2.900e+19   2.591e+19   2.221e+19   1.721e+19   1.427e+19   1.228e+19   1.060e+19   9.992e+18   8.744e+18   7.556e+18   6.805e+18   6.074e+18   5.002e+18   4.518e+18   4.141e+18   3.857e+18   3.642e+18   3.663e+18   3.515e+18   3.539e+18   3.363e+18   3.497e+18   3.410e+18
8.0   2.154e+18   2.914e+18   4.736e+18   4.976e+18   6.484e+18   7.930e+18   7.266e+18   8.895e+18   9.686e+18   8.034e+18   8.485e+18   7.280e+18   7.535e+18   6.853e+18   8.467e+18   8.108e+18   7.411e+18   9.400e+18   1.034e+19   1.536e+19   1.479e+19   2.671e+19   2.870e+19   2.569e+19   2.207e+19   1.712e+19   1.422e+19   1.223e+19   1.057e+19   9.966e+18   8.724e+18   7.541e+18   6.794e+18   6.065e+18   4.995e+18   4.513e+18   4.137e+18   3.853e+18   3.639e+18   3.660e+18   3.512e+18   3.536e+18   3.360e+18   3.494e+18   3.407e+18
9.0   2.148e+18   2.903e+18   4.709e+18   4.943e+18   6.436e+18   7.869e+18   7.214e+18   8.821e+18   9.615e+18   7.972e+18   8.429e+18   7.237e+18   7.497e+18   6.822e+18   8.434e+18   8.079e+18   7.385e+18   9.365e+18   1.030e+19   1.527e+19   1.467e+19   2.642e+19   2.840e+19   2.548e+19   2.192e+19   1.703e+19   1.416e+19   1.219e+19   1.053e+19   9.939e+18   8.704e+18   7.526e+18   6.782e+18   6.056e+18   4.989e+18   4.507e+18   4.133e+18   3.849e+18   3.636e+18   3.657e+18   3.509e+18   3.533e+18   3.357e+18   3.491e+18   3.405e+18
10.1   2.142e+18   2.892e+18   4.681e+18   4.910e+18   6.388e+18   7.808e+18   7.163e+18   8.748e+18   9.545e+18   7.911e+18   8.372e+18   7.195e+18   7.460e+18   6.792e+18   8.401e+18   8.050e+18   7.359e+18   9.329e+18   1.025e+19   1.518e+19   1.454e+19   2.614e+19   2.810e+19   2.526e+19   2.178e+19   1.694e+19   1.410e+19   1.215e+19   1.050e+19   9.913e+18   8.684e+18   7.511e+18   6.770e+18   6.047e+18   4.982e+18   4.502e+18   4.128e+18   3.845e+18   3.632e+18   3.653e+18   3.506e+18   3.530e+18   3.354e+18   3.488e+18   3.402e+18
11.1   2.136e+18   2.881e+18   4.654e+18   4.878e+18   6.340e+18   7.748e+18   7.112e+18   8.675e+18   9.475e+18   7.850e+18   8.317e+18   7.153e+18   7.422e+18   6.762e+18   8.369e+18   8.022e+18   7.333e+18   9.294e+18   1.020e+19   1.508e+19   1.442e+19   2.586e+19   2.781e+19   2.505e+19   2.163e+19   1.686e+19   1.404e+19   1.211e+19   1.047e+19   9.887e+18   8.665e+18   7.496e+18   6.758e+18   6.038e+18   4.976e+18   4.497e+18   4.124e+18   3.841e+18   3.629e+18   3.650e+18   3.503e+18   3.527e+18   3.351e+18   3.485e+18   3.399e+18
12.1   2.130e+18   2.870e+18   4.627e+18   4.846e+18   6.293e+18   7.688e+18   7.061e+18   8.603e+18   9.406e+18   7.789e+18   8.261e+18   7.111e+18   7.385e+18   6.732e+18   8.336e+18   7.993e+18   7.307e+18   9.258e+18   1.016e+19   1.499e+19   1.430e+19   2.558e+19   2.752e+19   2.484e+19   2.149e+19   1.677e+19   1.398e+19   1.206e+19   1.044e+19   9.861e+18   8.645e+18   7.480e+18   6.747e+18   6.029e+18   4.969e+18   4.492e+18   4.120e+18   3.838e+18   3.626e+18   3.647e+18   3.500e+18   3.524e+18   3.349e+18   3.482e+18   3.396e+18
