# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
0.000000E0	5.140817E19	5.609123E19	5.987039E19	6.176529E19	6.148476E19	5.876477E19	5.730779E19	5.420386E19	5.077733E19	4.830162E19	4.682904E19	4.605650E19	4.595058E19	4.580797E19	4.529972E19	4.396374E19	4.203331E19	3.944830E19	3.598654E19	3.283412E19	3.006632E19	2.766062E19	2.579124E19	2.458613E19	2.388347E19	2.315295E19	2.211818E19	2.072236E19	1.914628E19	1.774318E19	1.649015E19	1.559388E19	1.488988E19	1.434832E19	1.404818E19	1.368970E19	1.332312E19	1.297487E19	1.274144E19	1.242807E19	1.187559E19	1.002347E19	6.633089E18	3.553565E18	1.392212E18	3.955770E17	1.010934E17	2.559188E16
1.000000E1	3.505234E19	3.821558E19	4.062689E19	4.219051E19	4.274801E19	4.206125E19	4.194464E19	4.074316E19	3.914357E19	3.793647E19	3.724365E19	3.693795E19	3.702419E19	3.707690E19	3.688785E19	3.614159E19	3.495983E19	3.327872E19	3.090009E19	2.864288E19	2.658945E19	2.475124E19	2.329260E19	2.234476E19	2.179565E19	2.121478E19	2.036948E19	1.920181E19	1.785974E19	1.664862E19	1.555409E19	1.476559E19	1.414285E19	1.366238E19	1.339805E19	1.307950E19	1.275149E19	1.243870E19	1.223019E19	1.194634E19	1.144015E19	9.720635E18	6.519217E18	3.537486E18	1.391565E18	3.955615E17	1.010929E17	2.559186E16
2.000000E1	2.390021E19	2.603670E19	2.756862E19	2.881942E19	2.972107E19	3.010560E19	3.070007E19	3.062522E19	3.017526E19	2.979560E19	2.962028E19	2.962475E19	2.983185E19	3.000999E19	3.003801E19	2.971118E19	2.907669E19	2.807404E19	2.653258E19	2.498665E19	2.351464E19	2.214787E19	2.103603E19	2.030773E19	1.989033E19	1.943886E19	1.875905E19	1.779284E19	1.665966E19	1.562161E19	1.467122E19	1.398138E19	1.343341E19	1.300937E19	1.277815E19	1.249669E19	1.220459E19	1.192492E19	1.173970E19	1.148356E19	1.102099E19	9.427393E18	6.407852E18	3.521655E18	1.390926E18	3.955462E17	1.010924E17	2.559183E16
3.000000E1	1.629621E19	1.773909E19	1.870754E19	1.968591E19	2.066393E19	2.154827E19	2.246996E19	2.301992E19	2.326171E19	2.340170E19	2.355734E19	2.375946E19	2.403669E19	2.429004E19	2.446014E19	2.442489E19	2.418358E19	2.368336E19	2.278238E19	2.179713E19	2.079540E19	1.981833E19	1.899808E19	1.845640E19	1.815158E19	1.781161E19	1.727594E19	1.648727E19	1.554024E19	1.465800E19	1.383853E19	1.323890E19	1.275967E19	1.238770E19	1.218710E19	1.194002E19	1.168136E19	1.143260E19	1.126914E19	1.103900E19	1.061753E19	9.143461E18	6.298950E18	3.506071E18	1.390295E18	3.955309E17	1.010919E17	2.559181E16
4.000000E1	1.111147E19	1.208584E19	1.269457E19	1.344702E19	1.436684E19	1.542331E19	1.644618E19	1.730327E19	1.793214E19	1.837988E19	1.873541E19	1.905541E19	1.936731E19	1.966033E19	1.991805E19	2.007915E19	2.011390E19	1.997936E19	1.956225E19	1.901475E19	1.839062E19	1.773382E19	1.715756E19	1.677385E19	1.656483E19	1.632058E19	1.591009E19	1.527751E19	1.449606E19	1.375386E19	1.305315E19	1.253595E19	1.211984E19	1.179589E19	1.162355E19	1.140835E19	1.118078E19	1.096086E19	1.081773E19	1.061196E19	1.022918E19	8.868558E18	6.192470E18	3.490733E18	1.389673E18	3.955159E17	1.010915E17	2.559179E16
5.000000E1	7.576282E18	8.234219E18	8.614291E18	9.185362E18	9.988720E18	1.103933E19	1.203727E19	1.300627E19	1.382365E19	1.443570E19	1.490047E19	1.528271E19	1.560500E19	1.591304E19	1.621939E19	1.650661E19	1.672907E19	1.685466E19	1.679726E19	1.658754E19	1.626393E19	1.586855E19	1.549535E19	1.524468E19	1.511678E19	1.495437E19	1.465224E19	1.415653E19	1.352206E19	1.290553E19	1.231242E19	1.187041E19	1.151221E19	1.123251E19	1.108624E19	1.090055E19	1.070188E19	1.050884E19	1.038468E19	1.020174E19	9.855392E18	8.602411E18	6.088370E18	3.475640E18	1.389059E18	3.955009E17	1.010910E17	2.559177E16
6.000000E1	5.165840E18	5.610065E18	5.845492E18	6.274319E18	6.944777E18	7.901469E18	8.810302E18	9.776363E18	1.065647E19	1.133791E19	1.185051E19	1.225694E19	1.257357E19	1.287999E19	1.320755E19	1.356971E19	1.391386E19	1.421865E19	1.442308E19	1.447016E19	1.438316E19	1.419948E19	1.399417E19	1.385493E19	1.379533E19	1.370253E19	1.349384E19	1.311781E19	1.261353E19	1.210957E19	1.161379E19	1.124031E19	1.093518E19	1.069619E19	1.057395E19	1.041557E19	1.024374E19	1.007574E19	9.969259E18	9.807716E18	9.495637E18	8.344760E18	5.986611E18	3.460791E18	1.388453E18	3.954862E17	1.010905E17	2.559174E16
7.000000E1	3.522295E18	3.822200E18	3.966638E18	4.285850E18	4.828440E18	5.655525E18	6.448425E18	7.348553E18	8.214930E18	8.904885E18	9.424841E18	9.830238E18	1.013102E19	1.042505E19	1.075499E19	1.115535E19	1.157239E19	1.199490E19	1.238448E19	1.262306E19	1.271989E19	1.270596E19	1.263843E19	1.259187E19	1.258939E19	1.255549E19	1.242703E19	1.215532E19	1.176608E19	1.136276E19	1.095489E19	1.064376E19	1.038721E19	1.018565E19	1.008552E19	9.952384E18	9.805458E18	9.660764E18	9.570770E18	9.429247E18	9.149401E18	8.095348E18	5.887153E18	3.446185E18	1.387856E18	3.954715E17	1.010900E17	2.559172E16
8.000000E1	2.401655E18	2.604107E18	2.691684E18	2.927570E18	3.357031E18	4.047977E18	4.719723E18	5.523653E18	6.332781E18	6.993966E18	7.495679E18	7.883988E18	8.162959E18	8.438019E18	8.757858E18	9.170563E18	9.624958E18	1.011894E19	1.063402E19	1.101174E19	1.124896E19	1.136954E19	1.141403E19	1.144395E19	1.148887E19	1.150447E19	1.144457E19	1.126347E19	1.097558E19	1.066204E19	1.033344E19	1.007898E19	9.866847E18	9.699655E18	9.619853E18	9.510029E18	9.386193E18	9.263181E18	9.188533E18	9.065737E18	8.816190E18	7.853930E18	5.789959E18	3.431820E18	1.387267E18	3.954570E17	1.010896E17	2.559170E16
9.000000E1	1.637553E18	1.774207E18	1.826525E18	1.999759E18	2.334016E18	2.897365E18	3.454453E18	4.151938E18	4.881856E18	5.493116E18	5.961396E18	6.323067E18	6.577218E18	6.829720E18	7.131579E18	7.538912E18	8.005243E18	8.536371E18	9.130973E18	9.606101E18	9.948130E18	1.017368E19	1.030825E19	1.040069E19	1.048456E19	1.054144E19	1.053979E19	1.043707E19	1.023823E19	1.000460E19	9.747331E18	9.544289E18	9.372702E18	9.237035E18	9.175898E18	9.087577E18	8.985130E18	8.882268E18	8.821898E18	8.716608E18	8.495532E18	7.620267E18	5.694991E18	3.417697E18	1.386686E18	3.954427E17	1.010891E17	2.559167E16
