# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
0.000000E0	4.678340E19	5.103563E19	5.442130E19	5.623357E19	5.621737E19	5.410994E19	5.305513E19	5.050779E19	4.760733E19	4.549308E19	4.424129E19	4.360055E19	4.354917E19	4.346176E19	4.304296E19	4.187071E19	4.014661E19	3.780925E19	3.464148E19	3.172698E19	2.914389E19	2.689192E19	2.516451E19	2.406539E19	2.339520E19	2.265960E19	2.160400E19	2.015827E19	1.850659E19	1.709909E19	1.607220E19	1.564752E19	1.543848E19	1.514023E19	1.461862E19	1.362620E19	1.266782E19	1.178519E19	1.115554E19	1.075489E19	1.017520E19	7.807984E18	3.879542E18	3.324452E18	3.207353E18	9.568166E17	1.281725E17	1.054344E16
1.000000E1	3.526490E19	3.844837E19	4.087967E19	4.244407E19	4.298059E19	4.225391E19	4.211095E19	4.087726E19	3.924958E19	3.802403E19	3.732003E19	3.700741E19	3.709015E19	3.713946E19	3.694581E19	3.619221E19	3.500179E19	3.331130E19	3.092204E19	2.865438E19	2.659221E19	2.475926E19	2.333121E19	2.240339E19	2.182707E19	2.119194E19	2.027492E19	1.901155E19	1.757818E19	1.639160E19	1.555781E19	1.520587E19	1.494549E19	1.451208E19	1.386129E19	1.284203E19	1.195658E19	1.121034E19	1.078927E19	1.058818E19	1.014554E19	7.935630E18	4.412710E18	4.123942E18	3.354340E18	8.706080E17	1.003306E17	6.210211E15
2.000000E1	2.404515E19	2.619531E19	2.774016E19	2.899262E19	2.988277E19	3.024350E19	3.082179E19	3.072602E19	3.025698E19	2.986437E19	2.968103E19	2.968045E19	2.988498E19	3.006061E19	3.008518E19	2.975276E19	2.911150E19	2.810130E19	2.655096E19	2.499701E19	2.352149E19	2.216582E19	2.107730E19	2.034474E19	1.988359E19	1.937746E19	1.863889E19	1.761216E19	1.645969E19	1.553859E19	1.489875E19	1.456740E19	1.418951E19	1.358408E19	1.283039E19	1.187510E19	1.115405E19	1.063247E19	1.049631E19	1.053272E19	1.025334E19	8.300734E18	5.325916E18	5.073069E18	3.353602E18	7.178907E17	6.425290E16	2.032664E15
3.000000E1	1.639503E19	1.784715E19	1.882393E19	1.980422E19	2.077635E19	2.164697E19	2.255905E19	2.309568E19	2.332471E19	2.345571E19	2.360565E19	2.380413E19	2.407950E19	2.433100E19	2.449854E19	2.445904E19	2.421248E19	2.370625E19	2.279818E19	2.180771E19	2.080688E19	1.984185E19	1.903111E19	1.846421E19	1.811203E19	1.773055E19	1.716178E19	1.635826E19	1.546141E19	1.475450E19	1.422595E19	1.384160E19	1.332429E19	1.259624E19	1.184279E19	1.106263E19	1.056376E19	1.028743E19	1.040539E19	1.061610E19	1.046075E19	8.802645E18	6.333489E18	5.754545E18	3.119756E18	5.380090E17	3.332641E16	1.824494E14
4.000000E1	1.117885E19	1.215946E19	1.277356E19	1.352783E19	1.444501E19	1.549396E19	1.651139E19	1.736022E19	1.798071E19	1.842230E19	1.877383E19	1.909123E19	1.940179E19	1.969347E19	1.994931E19	2.010721E19	2.013794E19	1.999872E19	1.957630E19	1.902621E19	1.840544E19	1.775668E19	1.717380E19	1.675295E19	1.650651E19	1.624376E19	1.583191E19	1.522954E19	1.454903E19	1.399400E19	1.350095E19	1.302264E19	1.238764E19	1.162007E19	1.097336E19	1.045080E19	1.019696E19	1.014891E19	1.045182E19	1.075103E19	1.066822E19	9.312807E18	7.254409E18	6.061411E18	2.685909E18	3.547397E17	1.138884E16	8.760475E14
5.000000E1	7.622227E18	8.284378E18	8.667889E18	9.240565E18	1.004307E19	1.108990E19	1.208499E19	1.304908E19	1.386109E19	1.446902E19	1.493103E19	1.531143E19	1.563279E19	1.593987E19	1.624486E19	1.652971E19	1.674913E19	1.687117E19	1.681011E19	1.659969E19	1.627941E19	1.588462E19	1.549112E19	1.520350E19	1.505859E19	1.490437E19	1.463070E19	1.419884E19	1.368594E19	1.322038E19	1.270798E19	1.213382E19	1.143967E19	1.073091E19	1.027938E19	1.005298E19	1.002841E19	1.015773E19	1.055064E19	1.084450E19	1.077864E19	9.702749E18	7.922166E18	5.944271E18	2.113587E18	1.923077E17	1.162448E15	4.032302E15
6.000000E1	5.197167E18	5.644239E18	5.881862E18	6.312028E18	6.982561E18	7.937662E18	8.845233E18	9.808540E18	1.068533E19	1.136408E19	1.187480E19	1.227998E19	1.259596E19	1.290172E19	1.322831E19	1.358874E19	1.393063E19	1.423284E19	1.443493E19	1.448213E19	1.439617E19	1.420462E19	1.397182E19	1.380746E19	1.375588E19	1.369462E19	1.353496E19	1.323717E19	1.284096E19	1.241336E19	1.185700E19	1.122201E19	1.054980E19	9.992336E18	9.789150E18	9.846969E18	1.000077E19	1.023208E19	1.061106E19	1.081319E19	1.071320E19	9.865278E18	8.211944E18	5.418877E18	1.483986E18	7.218330E16	3.916190E15	9.281914E15
7.000000E1	3.543655E18	3.845483E18	3.991318E18	4.311608E18	4.854709E18	5.681431E18	6.473992E18	7.372740E18	8.237178E18	8.925435E18	9.444160E18	9.848715E18	1.014907E19	1.044265E19	1.077192E19	1.117104E19	1.158644E19	1.200711E19	1.239521E19	1.263360E19	1.272788E19	1.269940E19	1.260562E19	1.255369E19	1.258192E19	1.259361E19	1.252061E19	1.231935E19	1.199470E19	1.157303E19	1.098078E19	1.034694E19	9.781764E18	9.442991E18	9.496181E18	9.779002E18	1.003488E19	1.028194E19	1.055183E19	1.059727E19	1.042430E19	9.732161E18	8.060995E18	4.563711E18	8.864445E17	1.024375E16	1.930828E16	1.601065E16
8.000000E1	2.416219E18	2.619970E18	2.708431E18	2.945165E18	3.375295E18	4.066520E18	4.738436E18	5.541833E18	6.349930E18	7.010105E18	7.511045E18	7.898813E18	8.177512E18	8.452278E18	8.771659E18	9.183491E18	9.636708E18	1.012938E19	1.064334E19	1.101974E19	1.125082E19	1.135405E19	1.138146E19	1.142782E19	1.151765E19	1.158022E19	1.156685E19	1.142874E19	1.114322E19	1.071906E19	1.012694E19	9.567753E18	9.179846E18	9.088495E18	9.360260E18	9.773598E18	1.004401E19	1.022482E19	1.031514E19	1.017021E19	9.903270E18	9.285368E18	7.478877E18	3.507931E18	4.057453E17	1.467465E16	4.542860E16	2.343122E16
9.000000E1	1.647483E18	1.785015E18	1.837889E18	2.011778E18	2.346714E18	2.910637E18	3.468150E18	4.165603E18	4.895077E18	5.505791E18	5.973620E18	6.334965E18	6.588951E18	6.841269E18	7.142825E18	7.549550E18	8.015023E18	8.545159E18	9.138592E18	9.611001E18	9.944579E18	1.015479E19	1.028646E19	1.041288E19	1.054373E19	1.063627E19	1.065956E19	1.056001E19	1.029800E19	9.885309E18	9.346623E18	8.929670E18	8.759270E18	8.900036E18	9.315067E18	9.747523E18	9.949445E18	1.000026E19	9.876336E18	9.543163E18	9.181710E18	8.560012E18	6.545889E18	2.411538E18	1.100743E17	8.488770E16	7.903572E16	3.067538E16
