#Comments Cs2AgBiBr6 thin films of 100 nm at room temperature		
"#Reference H. J. Jöbsis, V. M. Caselli, S. H. C. Askes, E. C. Garnett, T. J. Savenije, F. T. Rabouw, E. M. Hutter. Recombination and localization: Unfolding the pathways behind conductivity losses in Cs2AgBiBr6 thin films. Appl. Phys. Lett. 119, 131908 (2021) (Numerical data kindly provided by Huygen Jöbsis)"		
#https://refractiveindex.info/?shelf=other&book=Cs2AgBiBr6&page=Jobsis		
#wl (nm)	#n	#k
300.000000	2.083943	0.577623
302.000000	2.086580	0.577884
304.000000	2.089675	0.578237
306.000000	2.093251	0.578631
308.000000	2.097324	0.579007
310.000000	2.101906	0.579305
312.000000	2.106998	0.579459
314.000000	2.112596	0.579400
316.000000	2.118685	0.579057
318.000000	2.125242	0.578359
320.000000	2.132230	0.577236
322.000000	2.139603	0.575620
324.000000	2.147305	0.573449
326.000000	2.155270	0.570665
328.000000	2.163421	0.567219
330.000000	2.171671	0.563071
332.000000	2.179930	0.558194
334.000000	2.188098	0.552570
336.000000	2.196072	0.546195
338.000000	2.203748	0.539080
340.000000	2.211016	0.531245
342.000000	2.217769	0.522729
344.000000	2.223896	0.513579
346.000000	2.229285	0.503863
348.000000	2.233822	0.493663
350.000000	2.237387	0.483088
352.000000	2.239859	0.472280
354.000000	2.241123	0.461428
356.000000	2.241086	0.450780
358.000000	2.239704	0.440654
360.000000	2.237024	0.431435
362.000000	2.233230	0.423548
364.000000	2.228683	0.417406
366.000000	2.223940	0.413328
368.000000	2.219734	0.411436
370.000000	2.216889	0.411560
372.000000	2.216194	0.413181
374.000000	2.218229	0.415445
376.000000	2.223221	0.417259
378.000000	2.230946	0.417463
380.000000	2.240726	0.415034
382.000000	2.251527	0.409265
384.000000	2.262123	0.399879
386.000000	2.271284	0.387054
388.000000	2.277943	0.371370
390.000000	2.281319	0.353693
392.000000	2.280970	0.335044
394.000000	2.276795	0.316461
396.000000	2.268982	0.298892
398.000000	2.257934	0.283122
400.000000	2.244177	0.269741
402.000000	2.228277	0.259149
404.000000	2.210778	0.251591
406.000000	2.192155	0.247206
408.000000	2.172801	0.246092
410.000000	2.153040	0.248364
412.000000	2.133153	0.254208
414.000000	2.113444	0.263925
416.000000	2.094321	0.277959
418.000000	2.076405	0.296898
420.000000	2.060687	0.321430
422.000000	2.048709	0.352208
424.000000	2.042756	0.389564
426.000000	2.045934	0.433001
428.000000	2.061937	0.480429
430.000000	2.094046	0.527375
432.000000	2.143480	0.567040
434.000000	2.207601	0.591523
436.000000	2.279206	0.594686
438.000000	2.348368	0.575159
440.000000	2.406199	0.537128
442.000000	2.447924	0.488122
444.000000	2.473311	0.435678
446.000000	2.485028	0.385202
448.000000	2.486684	0.339590
450.000000	2.481593	0.299850
452.000000	2.472318	0.265898
454.000000	2.460661	0.237142
456.000000	2.447817	0.212836
458.000000	2.434541	0.192246
460.000000	2.421299	0.174722
462.000000	2.408363	0.159717
464.000000	2.395884	0.146782
466.000000	2.383936	0.135552
468.000000	2.372549	0.125735
470.000000	2.361721	0.117095
472.000000	2.351436	0.109439
474.000000	2.341669	0.102614
476.000000	2.332390	0.096494
478.000000	2.323567	0.090976
480.000000	2.315170	0.085975
482.000000	2.307168	0.081422
484.000000	2.299534	0.077258
486.000000	2.292240	0.073434
488.000000	2.285263	0.069909
490.000000	2.278579	0.066649
492.000000	2.272169	0.063623
494.000000	2.266013	0.060807
496.000000	2.260094	0.058178
498.000000	2.254397	0.055718
500.000000	2.248907	0.053411
502.000000	2.243612	0.051241
504.000000	2.238498	0.049198
506.000000	2.233555	0.047269
508.000000	2.228774	0.045446
510.000000	2.224144	0.043719
512.000000	2.219657	0.042081
514.000000	2.215306	0.040525
516.000000	2.211083	0.039045
518.000000	2.206982	0.037636
520.000000	2.202996	0.036293
522.000000	2.199120	0.035010
524.000000	2.195348	0.033786
526.000000	2.191675	0.032614
528.000000	2.188097	0.031493
530.000000	2.184610	0.030420
532.000000	2.181209	0.029390
534.000000	2.177891	0.028403
536.000000	2.174652	0.027455
538.000000	2.171489	0.026545
540.000000	2.168399	0.025670
542.000000	2.165380	0.024829
544.000000	2.162427	0.024019
546.000000	2.159539	0.023240
548.000000	2.156713	0.022490
550.000000	2.153948	0.021767
552.000000	2.151241	0.021070
554.000000	2.148589	0.020399
556.000000	2.145991	0.019751
558.000000	2.143445	0.019126
560.000000	2.140950	0.018523
562.000000	2.138503	0.017940
564.000000	2.136104	0.017378
566.000000	2.133750	0.016835
568.000000	2.131440	0.016311
570.000000	2.129174	0.015804
572.000000	2.126948	0.015314
574.000000	2.124764	0.014841
576.000000	2.122618	0.014384
578.000000	2.120511	0.013942
580.000000	2.118440	0.013514
582.000000	2.116405	0.013101
584.000000	2.114406	0.012701
586.000000	2.112440	0.012314
588.000000	2.110508	0.011941
590.000000	2.108608	0.011579
592.000000	2.106739	0.011229
594.000000	2.104901	0.010891
596.000000	2.103093	0.010564
598.000000	2.101314	0.010248
600.000000	2.099563	0.009942
602.000000	2.097840	0.009647
604.000000	2.096144	0.009361
606.000000	2.094475	0.009085
608.000000	2.092831	0.008818
610.000000	2.091213	0.008560
612.000000	2.089620	0.008310
614.000000	2.088050	0.008069
616.000000	2.086504	0.007837
618.000000	2.084981	0.007612
620.000000	2.083481	0.007395
622.000000	2.082003	0.007185
624.000000	2.080547	0.006983
626.000000	2.079112	0.006788
628.000000	2.077698	0.006600
630.000000	2.076304	0.006419
632.000000	2.074930	0.006245
634.000000	2.073576	0.006076
636.000000	2.072241	0.005915
638.000000	2.070924	0.005759
640.000000	2.069627	0.005609
642.000000	2.068347	0.005465
644.000000	2.067086	0.005326
646.000000	2.065842	0.005194
648.000000	2.064615	0.005066
650.000000	2.063405	0.004944
652.000000	2.062212	0.004827
654.000000	2.061035	0.004715
656.000000	2.059874	0.004608
658.000000	2.058729	0.004505
660.000000	2.057600	0.004408
662.000000	2.056486	0.004315
664.000000	2.055388	0.004226
666.000000	2.054304	0.004142
668.000000	2.053235	0.004062
670.000000	2.052181	0.003986
672.000000	2.051141	0.003915
674.000000	2.050115	0.003847
676.000000	2.049103	0.003784
678.000000	2.048106	0.003724
680.000000	2.047122	0.003668
682.000000	2.046152	0.003616
684.000000	2.045195	0.003567
686.000000	2.044252	0.003522
688.000000	2.043323	0.003480
690.000000	2.042408	0.003442
692.000000	2.041507	0.003407
694.000000	2.040621	0.003373
