# Wavelength (nm)	Delta Photons
315.000000	111013480.033203
325.000000	272940250.573242
335.000000	384148498.688477
345.000000	437505429.922852
355.000000	498045387.288086
365.000000	618098313.291992
375.000000	677080450.071289
385.000000	649613618.516602
395.000000	823509127.048828
405.000000	1259179046.334961
415.000000	1368267874.112305
425.000000	1376925170.226562
435.000000	1436477797.635742
445.000000	1769682640.656250
455.000000	1945543864.733398
465.000000	2001812048.231445
475.000000	2075435549.961914
485.000000	2064694381.293945
495.000000	2151543564.411133
505.000000	2156378002.745117
515.000000	2131742319.963867
525.000000	2225044737.108398
535.000000	2288618329.887695
545.000000	2302299900.871094
555.000000	2343862800.611328
565.000000	2352063326.159180
575.000000	2364937072.457031
585.000000	2406344241.800781
595.000000	2390171940.962891
605.000000	2470101453.982422
615.000000	2479804310.936523
625.000000	2457335588.801758
635.000000	2516021633.317383
645.000000	2531109686.128906
655.000000	2470722789.819336
665.000000	2591460487.822266
675.000000	2625880756.441406
685.000000	2423369845.533203
695.000000	2443243460.441406
705.000000	2533218125.170898
715.000000	2358365491.382812
725.000000	2177323854.277344
735.000000	2414327796.924805
745.000000	2549350530.634766
755.000000	2381421488.522461
765.000000	1524587855.792969
775.000000	2516902226.158203
785.000000	2492524567.020508
795.000000	2403364850.251953
805.000000	2394339761.581055
815.000000	2095281746.552734
825.000000	2077019819.166992
835.000000	2233538963.084961
845.000000	2320961748.545898
